year,agebin,thous,birthrate
1940,10-14,5777,0.7
1940,15-19,6145,54.1
1940,20-24,5907,135.6
1940,25-29,5665,122.8
1940,30-34,5192,83.4
1940,35-39,4823,46.3
1940,40-44,4387,15.6
1940,45-49,4057,1.9
1940,remainder,90169,0
1941,10-14,5699,0.7
1941,15-19,6107,56.9
1941,20-24,5943,145.4
1941,25-29,5731,128.7
1941,30-34,5270,85.3
1941,35-39,4908,46.1
1941,40-44,4463,15
1941,45-49,4119,1.7
1941,remainder,91162,0
1942,10-14,5608,0.7
1942,15-19,6059,61.1
1942,20-24,5972,165.1
1942,25-29,5788,142.7
1942,30-34,5340,91.8
1942,35-39,4986,47.9
1942,40-44,4536,14.7
1942,45-49,4185,1.6
1942,remainder,92386,0
1943,10-14,5507,0.8
1943,15-19,6000,61.7
1943,20-24,5990,164
1943,25-29,5839,147.8
1943,30-34,5407,99.5
1943,35-39,5061,52.8
1943,40-44,4609,15.7
1943,45-49,4252,1.5
1943,remainder,94074,0
1944,10-14,5395,0.8
1944,15-19,5930,54.3
1944,20-24,5999,151.8
1944,25-29,5887,136.5
1944,30-34,5472,98.1
1944,35-39,5137,54.6
1944,40-44,4681,16.1
1944,45-49,4318,1.4
1944,remainder,95578,0
1945,10-14,5294,0.8
1945,15-19,5844,51.1
1945,20-24,5995,138.9
1945,25-29,5938,132.2
1945,30-34,5539,100.2
1945,35-39,5218,56.9
1945,40-44,5746,16.6
1945,45-49,4382,1.6
1945,remainder,96962,0
1946,10-14,5260,0.7
1946,15-19,5735,59.3
1946,20-24,5999,181.8
1946,25-29,6004,161.2
1946,30-34,5609,108.9
1946,35-39,5306,58.7
1946,40-44,4831,16.5
1946,45-49,4432,1.5
1946,remainder,96213,0
1947,10-14,5252,0.9
1947,15-19,5616,79.3
1947,20-24,5985,209.7
1947,25-29,6080,176
1947,30-34,5683,111.9
1947,35-39,5410,58.9
1947,40-44,4908,16.6
1947,45-49,4468,1.4
1947,remainder,100724,0
1948,10-14,5308,1
1948,15-19,5497,81.8
1948,20-24,5957,200.3
1948,25-29,6157,163.4
1948,30-34,5761,103.7
1948,35-39,5524,54.5
1948,40-44,4969,15.7
1948,45-49,4497,1.3
1948,remainder,102941,0
1949,10-14,5388,1
1949,15-19,5381,83.4
1949,20-24,5917,200.1
1949,25-29,6227,165.4
1949,30-34,5838,102.1
1949,35-39,5641,53.5
1949,40-44,5073,15.3
1949,45-49,4528,1.3
1949,remainder,105194,0
1950,10-14,5506,1
1950,15-19,5294,81.6
1950,20-24,5886,196.6
1950,25-29,6291,166.1
1950,30-34,5942,103.7
1950,35-39,5762,52.9
1950,40-44,5169,15.1
1950,45-49,4576,1.2
1950,remainder,107845,0
1951,10-14,5650,0.9
1951,15-19,5240,87.6
1951,20-24,5800,211.6
1951,25-29,6248,175.3
1951,30-34,6053,107.9
1951,35-39,5819,54.1
1951,40-44,5260,15.4
1951,45-49,4670,1.1
1951,remainder,110138,0
1952,10-14,5872,0.9
1952,15-19,5235,86.1
1952,20-24,5692,217.6
1952,25-29,6187,182
1952,30-34,6167,112.6
1952,35-39,5873,55.8
1952,40-44,5353,15.5
1952,45-49,4790,1.3
1952,remainder,112384,0
1953,10-14,6218,1
1953,15-19,5307,88.2
1953,20-24,5547,224.6
1953,25-29,6148,184.1
1953,30-34,6221,113.4
1953,35-39,5919,56.6
1953,40-44,5443,15.8
1953,45-49,4902,1
1953,remainder,114479,0
1954,10-14,6475,0.9
1954,15-19,5410,90.6
1954,20-24,5425,236.2
1954,25-29,6064,188.4
1954,30-34,6294,116.9
1954,35-39,5961,57.9
1954,40-44,5522,16.2
1954,45-49,5019,1
1954,remainder,116856,0
1955,10-14,6694,0.9
1955,15-19,5482,90.3
1955,20-24,5363,242
1955,25-29,5977,190.5
1955,30-34,6337,116.2
1955,35-39,6023,58.7
1955,40-44,5596,16.1
1955,45-49,5131,1
1955,remainder,119328,0
1956,10-14,6833,1
1956,15-19,5628,94.6
1956,20-24,5317,253.7
1956,25-29,5907,194.7
1956,30-34,6309,117.3
1956,35-39,6132,59.3
1956,40-44,5672,16.3
1956,45-49,5220,1
1956,remainder,121885,0
1957,10-14,7387,1
1957,15-19,5843,96.3
1957,20-24,5312,260.6
1957,25-29,5812,199.4
1957,30-34,6257,118.9
1957,35-39,6243,59.9
1957,40-44,5744,16.3
1957,45-49,5309,1.1
1957,remainder,124077,0
1958,10-14,7636,0.9
1958,15-19,6186,91.4
1958,20-24,5384,258.2
1958,25-29,5679,198.3
1958,30-34,6231,116.2
1958,35-39,6296,58.3
1958,40-44,5810,15.7
1958,45-49,5397,0.9
1958,remainder,126263,0
